name,mass,distance
HD 106315 b,12.6,109.353
HD 106315 c,15.2,109.353
HD 10647 b,298.75,17.3357
HD 106515 A b,3518.96545,34.0915
HD 106906 b,3496,103.029
HD 10697 b,1914.58848,33.1205
HD 107148 b,66.741,49.4156
HD 107148 c,19.89606,49.4156
HD 108147 b,82.95,38.92
HD 108236 b,3.24,64.5978
HD 108236 c,4.94,64.5978
HD 108236 d,6.98,64.5978
HD 108236 e,9.71,64.5978
HD 108236 f,4.72,64.5978
HD 108341 b,1112.4,48.9102
HD 108863 b,767.24162,164.742
HD 108874 b,451.3186,59.5175
HD 108874 c,314.64,59.5175
HD 109246 b,273.3338,67.8349
HD 109271 b,17.162,55.8716
HD 109271 c,24.154,55.8716
HD 109286 b,950.30694,55.4156
HD 109749 b,85.8141,63.0821
HD 10975 b,143.02278,116.506
HD 109833 b,8.69,79.5561
HD 109833 c,7.22,79.5561
HD 109988 b,6725.39378,42.5279
HD 110014 b,3524.59,100.758
HD 110082 b,10.3,105.096
HD 110113 b,4.55,106.307
HD 110113 c,10.5,106.307
HD 110537 b,8644.78715,45.0858
HD 11112 b,2428.48595,44.3804
HD 111232 b,2626.8024,28.9571
HD 111232 c,6085.555,28.9571
HD 111591 b,1398.452,114.166
HD 111998 b,1433.4133,33.2237
HD 112640 b,1589.15,323.335
HD 113337 b,1032.00909,36.18
HD 113337 c,6268.96682,36.18
HD 11343 c,253.39075,155.121
HD 113538 b,114.41,16.2817
HD 113538 c,295.57,16.2817
HD 113996 b,2002.329,116.334
HD 114082 b,2542.62726,95.3906
HD 114386 b,362.3262,27.9243
HD 114613 b,113.46531,20.2836
HD 114729 b,262.20975,37.8063
HD 114783 b,349.6,21.0628
HD 114783 c,194.19413,21.0628
HD 11505 b,2649.58135,38.9679
HD 11506 b,1716.82279,51.261
HD 11506 c,115.84733,51.261
HD 11506 d,2446.83592,51.261
HD 115404 A b,30.03873,10.9816
HD 115404 A c,3299.58202,10.9816
HD 115954 b,2634.79749,87.6437
HD 116029 b,444.962,123.245
HD 116029 c,403.6441,123.245
HD 117207 b,612.14058,32.3547
HD 11755 b,1789.3829,235.045
HD 117618 b,55.30242,37.7781
HD 118203 b,886.7457,92.2589
HD 11964 b,198,33.5369
HD 11964 c,25,33.5369
HD 11977 b,2080,67.9331
HD 120084 b,2439.44256,103.044
HD 121504 b,479.9233,41.6592
HD 12235 b,10.33369,31.7627
HD 12235 c,3171.50491,31.7627
HD 122562 c,72.85079,53.2528
